tt0037721,Fiamma dell'ovest,Frontier Gal,1945,1945-12-21,"Action, Adventure, Music",85,USA,English,Charles Lamont,"Michael Fessier, Ernest Pagano",Fessier Pagano Productions,"Yvonne De Carlo, Rod Cameron, Andy Devine, Fuzzy Knight, Andrew Tombes, Sheldon Leonard, Clara Blandick, Jan Wiley, Jack Overman, Frank Lackteen, Beverly Simmons",A wanderer returns after six years and a one-night honeymoon to make amends with his bride and five year-old daughter.,5.9,270,,,,,14.0,5.0
tt0037722,The Frozen Ghost,The Frozen Ghost,1945,1945-06-01,"Horror, Mystery, Romance",61,USA,English,Harold Young,"Bernard Schubert, Luci Ward",Universal Pictures,"Lon Chaney Jr., Evelyn Ankers, Milburn Stone, Douglass Dumbrille, Martin Kosleck, Elena Verdugo, Tala Birell, Arthur Hohl",A stage mentalist involved in a mysterious death and a discredited plastic surgeon are among the assorted characters involved in mysterious goings-on in an eerie wax museum.,6.0,631,,,,,22.0,22.0
tt0037735,Genius at Work,Genius at Work,1946,1946-10-20,"Comedy, Crime",61,USA,English,Leslie Goodwins,"Monte Brice, Robert E. Kent",RKO Radio Pictures,"Wally Brown, Alan Carney, Anne Jeffreys, Lionel Atwill, Bela Lugosi, Marc Cramer, Ralph Dunn","Two actors who star in a radio detective show find themselves pitted against a villain calling himself the Cobra, who has an affinity for torture chambers.",5.3,282,,,,,18.0,8.0
tt0037736,Le ragazze dello scandalo,George White's Scandals,1945,1946-02-18,"Comedy, Music",95,USA,English,Felix E. Feist,"Hugh Wedlock Jr., Howard Snyder",RKO Radio Pictures,"Joan Davis, Jack Haley, Phillip Terry, Martha Holliday, Ethel Smith, Margaret Hamilton, Glenn Tryon, Jane Greer, Audrey Young, Rose Murphy, Fritz Feld, Beverly Wills, Gene Krupa, Foncilla Adams, Effie Laird","This Broadway revue is about two love affairs. The romance between the comedienne Joan Mason and Jack Evans of Boston is easily disturbed by Jack's cynical sister, Clara Belle Evans, who is...",5.8,153,,,,,9.0,3.0
tt0037737,Nozze agitate,Getting Gertie's Garter,1945,1945-11-30,"Comedy, Romance",72,USA,English,Allan Dwan,"Allan Dwan, Karen DeWolf",Edward Small Productions,"Dennis O'Keefe, Marie McDonald, Barry Sullivan, Binnie Barnes, Sheila Ryan, J. Carrol Naish, Jerome Cowan, Vera Marshe","To avoid scandal, a rising scientist scrambles to retrieve an inscribed garter from an old flame on the eve of her wedding.",6.5,168,,,,,7.0,2.0
tt0037746,Le tigri della birmania,God Is My Co-Pilot,1945,1945-04-07,"Action, Adventure, Biography",90,USA,"English, Japanese",Robert Florey,"Robert Lee Scott Jr., Peter Milne",Warner Bros.,"Dennis Morgan, Dane Clark, Raymond Massey, Alan Hale, Andrea King, John Ridgely, Stanley Ridges, Craig Stevens, Warren Douglas, Mark Stevens, Charles Smith, Minor Watson, Richard Loo, Addison Richards, Donald Woods","During WW2, American volunteer pilots are stationed in China where, as part of the Flying Tigers unit, they dog-fight against Japanese warplanes.",6.5,549,$ 1970000,,,,21.0,3.0
tt0037748,Great Day,Great Day,1945,1945-07-09,Drama,80,UK,English,Lance Comfort,"Lesley Storm, John Davenport",RKO Radio Pictures,"Eric Portman, Flora Robson, Sheila Sim, Isabel Jeans, Walter Fitzgerald, Philip Friend, Marjorie Rhodes, Maire O'Neill, John Laurie, Kathleen Harrison, Leslie Dwyer, Margaret Withers, Beatrice Varley, Irene Handl, Patricia Hayes","An impending V.I.P. visit causes bustle in an English village, while the Ellis family struggles with private problems.",6.5,182,,,,,8.0,2.0
tt0037749,La fine della signora Wallace,The Great Flamarion,1945,1947-11-14,"Drama, Film-Noir, Mystery",78,USA,English,Anthony Mann,"Anne Wigton, Heinz Herald",W. Lee Wilder Productions,"Erich von Stroheim, Mary Beth Hughes, Dan Duryea, Steve Barclay, Lester Allen, Esther Howard, Michael Mark","Part of an entertainment act, a beautiful but unscrupulous female performer manipulates all the men in her life in order to achieve her aims.",6.6,1011,,,,,32.0,11.0
tt0037756,Quella che non devi amare,Guest Wife,1945,1945-07-27,"Comedy, Romance",90,USA,English,Sam Wood,"John D. Klorer, Bruce Manning",Greentree Productions,"Claudette Colbert, Don Ameche, Dick Foran, Charles Dingle, Grant Mitchell, Wilma Francis, Chester Clute, Irving Bacon, Hal K. Dawson, Edward Fielding",A newspaper correspondent who has convinced his publisher he is married implores his friend's wife to pose as his bride.,6.6,334,,,,,12.0,6.0
tt0037761,Nelle tenebre della metropoli,Hangover Square,1945,1945-09-21,"Crime, Drama, Thriller",77,USA,English,John Brahm,"Barré Lyndon, Patrick Hamilton",Twentieth Century Fox,"Laird Cregar, Linda Darnell, George Sanders, Glenn Langan, Faye Marlowe, Alan Napier",A promising classical musician finds his life poisoned by a music hall dancer -- and by the strange gaps in his memory.,7.4,2434,,,,,53.0,44.0
