tt0282062,Petrol krallari,Petrol krallari,1978,1978,Comedy,89,Turkey,Turkish,Zeki Alasya,Zeki Alasya,Erman Film,"Zeki Alasya, Metin Akpinar, Suna Yildizoglu, Mine Sun, Perran Kutman, Ali Sen, Osman Alyanak, Aysen Atav, Yalçin Avsar, Muharrem Gürses, Aydin Haberdar, Hüseyin Kasif, Sacide Keskin, Tijen Par, Baki Tamer",Two inseparable friends find a gasoline source in their backyard and use the money to save their neighborhood from the greedy loan shark.,6.8,1128,,,,,,
tt0282108,Quo Vadis,Quo Vadis,2001,2001-09-14,Drama,165,"Poland, USA",Polish,Jerzy Kawalerowicz,"Jerzy Kawalerowicz, Henryk Sienkiewicz",Chronos-Film,"Pawel Delag, Magdalena Mielcarz, Boguslaw Linda, Michal Bajor, Jerzy Trela, Franciszek Pieczka, Krzysztof Majchrzak, Rafal Kubacki, Andrzej Tomecki, Jerzy Nowak, Zbigniew Walerys, Agnieszka Wagner, Malgorzata Pieczynska, Marta Piechowiak, Danuta Stenka","Marcus Vinicius meets Lygia in Rome and falls in love. But she is Christian and doesn't want anything to do with him. Marcus decides to kidnap her but Ursus, her bodyguard, catches Marcus. ...",5.7,1918,$ 18000000,,,67.0,31.0,6.0
tt0282120,La famiglia della giungla,The Wild Thornberrys Movie,2002,2003-04-18,"Animation, Adventure, Comedy",85,USA,English,"Cathy Malkasian, Jeff McGrath","Arlene Klasky, Gabor Csupo",Paramount Pictures,"Lacey Chabert, Tom Kane, Cree Summer, Tim Curry, Lynn Redgrave, Jodi Carlisle, Danielle Harris, Flea, Crystal Scales, Kimberly Brooks, Alfre Woodard, Brock Peters, Melissa Greenspan, Alexandra Boyd, Moira Quirk","Eliza (Lacey Chabert) and Debbie (Danielle Harris) are two sisters who don't always get along. But their relationship is put to the test when Debbie's life is in danger, and Eliza might have to give up her power to talk to animals.",5.6,13880,$ 25000000,$ 40108697,$ 60694737,69.0,35.0,38.0
tt0282129,Rosarigasinos,Rosarigasinos,2001,2001-06-21,"Comedy, Drama",90,Argentina,Spanish,Rodrigo Grande,Rodrigo Grande,Instituto Nacional de Cine y Artes Audiovisuales (INCAA),"Federico Luppi, Ulises Dumont, María José Demare, Francisco Puente, Gustavo Luppi, Enrique Dumont, Emilio Bardi, Claudio Rissi, Saul Jarlip, María Zulema Amadei, Héctor Ansaldi, Alfredo Anémola, Maximiliano Aydar, César Bordón, Liliana Gioia","After thirty years, two lifelong friends and criminals are released from prison. On the hunt for treasure buried long ago, the friends find themselves up against a more complicated world than the one they once knew.",6.6,144,,,$ 38286,,1.0,5.0
tt0282139,"Satyam, Shivam, Sundaram","Satyam, Shivam, Sundaram",2000,2000-02-01,"Comedy, Drama",148,India,Malayalam,"Meccartin, Raffi","Meccartin, Raffi",,"Ambika, Harisree Asokan, Kunchacko Boban, Cochin Hanifa, Jagadish, Janardanan, Aswathi Menon, Balachandra Menon, Nassar, Jagathi Sreekumar","Sathyam Sivam Sundaram is a 2000 Indian Malayalam film, directed by Rafi Mecartin and Produced by Siad Kokker. The film stars Kunchacko Boban, Aswathi Menon, Harishree Ashokan, Jagathy ...",5.7,152,,,,,,
tt0282140,Savulun Battal Gazi geliyor,Savulun Battal Gazi geliyor,1973,1973-11-01,"Action, Adventure, History",85,Turkey,Turkish,Natuk Baytan,"Natuk Baytan, Duygu Sagiroglu",Ugur Film,"Cüneyt Arkin, Zuhal Aktan, Reha Yurdakul, Birsen Ayda, Atif Kaptan, Kazim Kartal, Oktay Yavuz, Tarik Simsek, Yasar Güçlü, Süheyl Egriboz, Sönmez Yikilmaz, Ramazan Selek, Ibrahim Kurt, Kayhan Yildizoglu, Esref Vural","After his family is killed in front of his eyes, little Seyit Battal grows up to be the nightmare of Byzantine's Black Knighthood.",6.3,1217,,,,,,2.0
tt0282155,Sexy Boys,Sexy Boys,2001,2001-12-26,Comedy,90,France,French,Stéphane Kazandjian,Stéphane Kazandjian,Delante Films,"Julien Baumgartner, Matthias Van Khache, Jérémie Elkaïm, Armelle Deutsch, Virginie Lanoué, Sarah Marshall, Violette Palcossian, Charlotte Mayeur, Arielle Sémenoff, Alain Doutey, Caroline Mouton, Gaëla Le Devehat, Emilien Lafitte, Jacqueline Noëlle, Sandrine Alexi","Friends since high school, 20-year-olds Seb, Frank and Manu are navigating their college years with humor and a longing for romance. Through a series of ridiculous accidents, each young man learns to look for love in unexpected places.",4.5,693,FRF 22500000,,$ 2353681,,4.0,1.0
tt0282159,Shap yee yeh,Shap yee yeh,2000,2000-04-20,"Drama, Romance",92,Hong Kong,Cantonese,Oi Wah Lam,Oi Wah Lam,Golden Harvest Company,"Cecilia Cheung, Eason Chan, Shuk-Ching Au, Ronald Cheng, Nicola Cheung, Stephen Fung, Goo-Bi GC, Candy Lo, Nicholas Tse",,6.7,304,,,,,3.0,1.0
tt0282163,Shredder,Shredder,2001,2003-12-16,"Comedy, Horror",86,USA,English,Greg Huson,"Craig Donald Carlson, Greg Huson",,"Scott Weinger, Lindsey McKeon, Juleah Weikel, Billy O'Sullivan, Holly Towne, Brad Hawkins, Peter Riggs, Candace Moon, Ron Varela, Seth Reston, Elliot Olson, Kjersti Cubberley, Drake William Smith, Jessica Veal","At an exclusive, secluded North American ski resort up on Mount Rocky Summit, brutal slashing, severing and beheading on a group of teenagers are taking place and are believed to be the work of a mysterious skier dressed in black.",4.6,1555,,,,,51.0,22.0
tt0282179,Spiders II: Breeding Ground,Spiders II: Breeding Ground,2001,2001-05-09,"Action, Horror, Sci-Fi",96,"Israel, USA",English,Sam Firstenberg,"Stephen David Brooks, Boaz Davidson",Millennium Films,"Stephanie Niznik, Greg Cromer, Daniel Quinn, Richard Moll, Harel Noff, Yuri Safchev, Dimiter Kuzov, Miroslava Bonjeva, Peter Antonov, Velimir Velev, Gerald Henderson",After the events of,3.1,1455,,,,,44.0,17.0
