tt0082641,Laf u srcu,Laf u srcu,1981,1981-07-29,Comedy,92,Yugoslavia,Serbo-Croatian,Mica Milosevic,"Ljiljana Pavic, Sinisa Pavic",Film Danas,"Nikola Simic, Milena Dravic, Irfan Mensur, Danilo Lazovic, Velimir 'Bata' Zivojinovic, Pavle Vuisic, Milan 'Lane' Gutovic, Jelisaveta 'Seka' Sablic, Nada Vojinovic, Radmila Zivkovic, Nikola Milic, Miodrag Andric, Dragomir Pesic, Predrag Tasovac, Radmila Gutesa","After confronting his professor, a student of medicine loses his illegal bed in student housing and finds a job as a housemaid at Sava Mitrovic house. The family happiness soon turns into a chaos, falling apart like a Robert Hall suit.",7.4,525,,,,,,
tt0082642,The Last Chase,The Last Chase,1981,1981-04-10,"Action, Adventure, Sci-Fi",101,"Canada, USA",English,Martyn Burke,"Christopher Crowe, Roy Moore",Argosy Films,"Lee Majors, Burgess Meredith, Chris Makepeace, Alexandra Stewart, Diane D'Aquila, George Touliatos, Harvey Atkin, Ben Gordon, Hugh Webster, Deborah Burgess, Trudy Young, Moses Znaimer, Doug Lennox, Paul Amato, Warren Van Evera","In a future United States, the only transport available to an individual is public transportation. Predicated on an assertion that ""the oil has run out"", an increasingly totalitarian ...",4.5,893,$ 4900000,,,,25.0,9.0
tt0082644,Laawaris,Laawaris,1981,1981-05-22,"Drama, Action, Musical",189,India,Hindi,Prakash Mehra,"Shashi Bhushan, Kader Khan",,"Amitabh Bachchan, Zeenat Aman, Rakhee Gulzar, Amjad Khan, Bindu, Ranjeet, Padmini Kapila, Jeevan, Mukri, Vikas Anand, Mumtaz Begum, R.S. Chopra, Nandita Das, Goga Kapoor, Satyendra Kapoor","A man, abandoned as a baby and forced to live as an orphan, is unknowingly employed by his biological father.",7.1,2141,,,,,4.0,1.0
tt0082648,La leggenda di Lone Ranger,The Legend of the Lone Ranger,1981,1981-05-22,"Action, Adventure, Western",98,"USA, UK",English,William A. Fraker,"Ivan Goff, Ben Roberts",Eaves Movie Ranch,"Klinton Spilsbury, Michael Horse, Christopher Lloyd, Matt Clark, Juanin Clay, Jason Robards, John Bennett Perry, David Hayward, John Hart, Richard Farnsworth, Lincoln Tate, Ted Flicker, Marc Gilpin, Patrick Montoya, David Bennett","The sole surviving Texas Ranger (Klinton Spilsbury) of an ambush arranged by outlaw leader Major Bartholomew ""Butch"" Cavendish (Christopher Lloyd) returns to fight back as a great masked western hero, The Lone Ranger.",5.1,1832,$ 18000000,$ 12617845,$ 12617845,,57.0,30.0
tt0082655,Los liantes,Los liantes,1981,1981-09-14,Comedy,84,Spain,Spanish,Mariano Ozores,Mariano Ozores,Ízaro Films,"Fernando Esteso, Andrés Pajares, Antonio Ozores, Adriana Vega, Loreta Tovar, Marcia Bell, Emiliano Redondo, Alfonso del Real, Antonio Gamero, Adrián Ortega, José Yepes, Alfredo Calles, María Álvarez, Lorna Green, Rocío Freixas",,5.2,169,,,,,1.0,
tt0082656,American Blue Jeans,Liar's Moon,1981,1982-09-01,"Drama, Romance",106,USA,English,David Fisher,"Janice Thompson, Billy Hanna",Hanna Productions,"Matt Dillon, Cindy Fisher, Hoyt Axton, Margaret Blye, Broderick Crawford, Christopher Connelly, Molly McCarthy, Tiffany Stettner, Yvonne De Carlo, Susan Tyrrell, Jim Greenleaf, Mark Atkins, Tonja Walker, Richard Moll, David Underwood",A poor kid elopes with a banker's daughter.,5.8,511,,,,,12.0,7.0
tt0082661,Lili Marleen,Lili Marleen,1981,1981-03-14,"Drama, Music, Romance",120,West Germany,"English, German",Rainer Werner Fassbinder,"Manfred Purzer, Joshua Sinclair",Bayerischer Rundfunk (BR),"Hanna Schygulla, Giancarlo Giannini, Mel Ferrer, Karl-Heinz von Hassel, Erik Schumann, Hark Bohm, Gottfried John, Karin Baal, Christine Kaufmann, Udo Kier, Roger Fritz, Rainer Will, Raúl Gimenez, Adrian Hoven, Willy Harlander","In 1938, a German singer falls in love with a Jewish composer in Zurich, who helps Jews flee Nazi Germany. She wants to help but is forced back to Germany. Her song ""Lili Marleen"" becomes a hit with soldiers and the Nazi top.",7.2,3516,DEM 10500000,$ 8144,$ 8144,,8.0,31.0
tt0082666,"Ljubi, ljubi, al' glavu ne gubi","Ljubi, ljubi, al' glavu ne gubi",1981,1981-02-26,"Comedy, Romance",90,Yugoslavia,Serbo-Croatian,Zoran Calic,"Zoran Calic, Jovan Markovic",Union Film,"Dragomir Bojanic-Gidra, Dara Calenic, Jelena Zigon, Marko Todorovic, Vesna Cipcic, Tanja Boskovic, Vladimir Petrovic, Rialda Kadric, Mija Aleksic, Milan Srdoc, Tatjana Beljakova, Milan Puzic, Boro Begovic, Gojko Kovacevic, Dragan Spasojevic","Mary and Bob continuing his love spend the summer in the voluntary youth but their parents affect the foolish. The peak occurs when the life Zika, after a brief flirtation with Marys mother implicate two German girls Elza and Giza.",7.2,1101,,,,,,
tt0082669,The Loch Ness Horror,The Loch Ness Horror,1982,1982-11-12,"Adventure, Horror",89,USA,English,Larry Buchanan,"Larry Buchanan, Lynn Shubert",Clan Buchanan,"Sandy Kenyon, Miki McKenzie, Barry Buchanan, Eric Scott, Karey-Louis Scott, Doc Livingston, Stuart Lancaster, Preston Hanson, Garth Pillsbury, David Clover, Pat Musick, Ronald Cohen, Don Myshrall, Dee Buchanan, Kort Falkenberg","An increasing number of people are dying mysterious deaths in the dark waters of Loch Ness, victims of the famous monster. But what other mysteries does the Loch hold? What about the ...",2.9,342,,,,,15.0,12.0
tt0082671,Lola,Lola,1981,1982-04-22,"Drama, Romance",115,West Germany,"German, English, French, Latin",Rainer Werner Fassbinder,"Pea Fröhlich, Peter Märthesheimer",Rialto Film,"Barbara Sukowa, Armin Mueller-Stahl, Mario Adorf, Matthias Fuchs, Helga Feddersen, Karin Baal, Ivan Desny, Elisabeth Volkmann, Hark Bohm, Karl-Heinz von Hassel, Rosel Zech, Sonja Neudorfer, Christine Kaufmann, Y Sa Lo, Günther Kaufmann","In post-war West Germany, the charming Von Bohm is appointed a city's new Building Commissioner. His morality is tested when he unknowingly falls in love with a brothel worker, Lola, the paid mistress of a corrupt property developer.",7.5,5121,DEM 3500000,$ 8144,$ 8144,,19.0,42.0
