tt0052966,Kazabana,Kazabana,1959,1959-01-03,Drama,78,Japan,Japanese,Keisuke Kinoshita,Keisuke Kinoshita,Shochiku,"Keiko Kishi, Ineko Arima, Yoshiko Kuga, Yûsuke Kawazu, Chieko Higashiyama, Yasushi Nagata, Chishû Ryû, Kuniko Igawa, Toshio Hosokawa, Tooru Hanayagi, Masako Izumi, Kayoko Hiraoka, Shinobu Takeno, Masanao Kawakane, Shinichirô Minami","A flashback story of a young man, from his disgraced birth ,his harsh life and his forbidden love, until when broken-hearted, can break out in search of a place where to live means more than being alive.",7.0,128,,,,,4.0,5.0
tt0052969,The Killer Shrews,The Killer Shrews,1959,1959,"Horror, Sci-Fi",69,USA,"English, Spanish",Ray Kellogg,"Jay Simms, Jay Simms",Hollywood Pictures Corporation (II),"James Best, Ingrid Goude, Ken Curtis, Gordon McLendon, Baruch Lumet, Judge Henry Dupree, Alfredo de Soto","On an isolated island, a small group of people are terrorized by giant voracious shrews in the midst of a hurricane.",4.1,4349,$ 123000,,,,119.0,61.0
tt0052970,Ombre sul Kilimanjaro,Killers of Kilimanjaro,1959,1959-09-24,Adventure,91,UK,English,Richard Thorpe,"Earl Felton, John Gilling",Warwick Film Productions,"Robert Taylor, Anthony Newley, Anne Aubrey, Grégoire Aslan, Allan Cuthbertson, Martin Benson, Orlando Martins, Donald Pleasence, John Dimech, Martin Boddey, Earl Cameron, Harry Baird, Anthony Jacobs","In the 19th century,during the German colonial rule,railway engineer Robert Adamson arrives in the Kilimanjaro Region to finish building a railroad through hostile territory.",5.5,309,,,,,15.0,1.0
tt0052971,Lo stallone selvaggio,King of the Wild Stallions,1959,1959-05-17,Western,76,USA,English,R.G. Springsteen,Ford Beebe,Allied Artists Pictures,"George Montgomery, Diane Brewster, Edgar Buchanan, Emile Meyer, Jerry Hartleben, Byron Foulger, Denver Pyle, Dan Sheridan, Rory Mallinson",A young widow and her son on an isolated ranch find themselves being protected by a wild stallion.,5.8,106,,,,,5.0,1.0
tt0052972,Kiss Her Goodbye,Kiss Her Goodbye,1959,1959,Drama,94,USA,English,Albert Lipton,"Alan Marcus, H. William Miller",Bruce Newberg Productions,"Elaine Stritch, Steven Hill, Gene Lyons, Andrew Prine, Daniel Reed, Howard Fischer, Dorrit Kelton, Mike Alonzo, Mel Brown, Roxana Landrian, Sharon Farrell",Psychological tale about the disintegration of a young woman's sanity.,5.6,116,,,,,10.0,
tt0052978,I contrabbandieri della morte,Král Sumavy,1959,1961,"Crime, Drama",90,Czechoslovakia,Czech,Karel Kachyna,"Frantisek A. Dvorák, Karel Kachyna",,"Radovan Lukavský, Jirí Vala, Jirina Svorcová, Stanislav Remunda, Jaroslav Marvan, Václav Bousek, Libuse Havelková, Josef Henke, Miroslav Holub, Milan Holubár, Jirí Holý, Monika Indingerová, Rudolf Jelínek, Eva Jirousková, Miroslav Kahoun",A communist film about Czechoslovak border guards in the late 1940s and their struggle against smugglers and refugees.,6.5,149,,,,,1.0,
tt0052980,Krzyz Walecznych,Krzyz Walecznych,1959,1959-03-27,"Comedy, Drama, Romance",84,Poland,Polish,Kazimierz Kutz,"Bohdan Czeszko, Józef Hen",WFF Wroclaw,"Jerzy Turek, Aleksander Fogiel, Bronislaw Pawlik, Andrzej May, Grazyna Staniszewska, Adolf Chronicki, Zbigniew Cybulski, Bogdan Baer, Halina Buyno-Loza, Zenon Burzynski, Wladyslaw Dewoyno, Jadwiga Hanska, Zygmunt Hobot, Henryk Hunko, Bohdana Majda","Three episodes showing the repercussions of war. A soldier returns to his ruined village, a stray dog turns out to be the former guard at Auschwitz, a young widow is hailed as the wife of the hero but dreams of something else.",6.9,112,,,,,,
tt0052985,I ladri,I ladri,1959,1959-06-27,Comedy,89,"Italy, Spain",Italian,Lucio Fulci,"Marcello Coscia, Marcello Coscia",Fénix Cooperativa Cinematográfica,"Totò, Giovanna Ralli, Armando Calvo, Giacomo Furia, Enzo Turco, Roberto De Simone, Juanjo Menéndez, Rafael Luis Calvo, María Luisa Rolando, Félix Fernández, Leopoldo Valentini, Fred Buscaglione","An Italo-American mobster is sent back to Naples from the States. He moves to Italy with all his illegal proceeds, hidden in jam jars. When the jars get to the harbour of Naples, they fall ...",5.6,135,,,,,,2.0
tt0052990,Addio dottor Abelman!,The Last Angry Man,1959,1960-02-01,Drama,100,USA,"English, Yiddish",Daniel Mann,"Gerald Green, Richard Murphy",Fred Kohlmar Productions,"Paul Muni, David Wayne, Betsy Palmer, Luther Adler, Claudia McNeil, Joby Baker, Joanna Moore, Nancy R. Pollock, Billy Dee Williams, Robert F. Simon, Dan Tobin",An aspiring journalist's story of his aged uncle doctor leads to the uncle's life being profiled on TV.,7.0,720,,,,,21.0,6.0
tt0052992,Le otto celle della morte,The Last Mile,1959,1959-06-27,"Drama, Thriller",81,USA,English,Howard W. Koch,"Milton Subotsky, Seton I. Miller",Dear Film,"Mickey Rooney, Frank Overton, Michael Constantine, John Vari, Clifford David, Harry Millard, John McCurry, Ford Rainey, Johnny Seven, George Marcy, Don 'Red' Barry, Leon Janney, Clifton James, Milton Selzer, Frank Conroy",A prison break is attempted the same night an execution occurs on death row.,6.7,262,,,,,17.0,6.0
tt0052993,Il giorno della vendetta,Last Train from Gun Hill,1959,1959-10-30,"Romance, Western",95,USA,English,John Sturges,"Les Crutchfield, James Poe",Bryna Productions,"Kirk Douglas, Anthony Quinn, Carolyn Jones, Earl Holliman, Brad Dexter, Brian G. Hutton, Ziva Rodann, Bing Russell, Val Avery, Walter Sande","A marshal tries to bring the son of an old friend, an autocratic cattle baron, to justice for his role in the rape and murder of the marshal's Native American wife.",7.4,6406,,,,,74.0,27.0
