tt6214928,1922,1922,2017,2017-10-20,"Crime, Drama, Horror",102,USA,English,Zak Hilditch,"Stephen King, Zak Hilditch",Campfire,"Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard, Neal McDonough, Tanya Champoux, Brian d'Arcy James, Bob Frazer, Eric Keenleyside, Patrick Keating, Danielle Klaudt, Peter New, Peter Hall, Michael Bean, Mark Acheson","A simple yet proud farmer in the year 1922 conspires to murder his wife for financial gain, convincing his teenage son to assist. But their actions have unintended consequences.",6.3,49788,,,,70.0,216.0,67.0
tt6215044,Oceans Rising,Oceans Rising,2017,2017-01-17,"Action, Adventure, Drama",87,USA,English,Adam Lipsius,Adam Lipsius,Syfy,"Jason Tobias, Summer Spiro, DeJean Brown, Paola Menacho, Hari Williams, Gustavo Escobar, Arthur Roberts, Annabel Barrett, Jeff Harms, Kevin Young, Cedric Jonathan, Rickey Alexander Wilson, Paul Statman, Ronak Gandhi, Roy Abramsohn","A scientist builds a boat after his warnings of an Earth-destroying flood are ignored. But when it's evident the disaster will occur, those who maligned the scientist now turn to him in desperation.",2.4,1644,,,,,116.0,4.0
tt6215208,Zwodniczy urok,Allure,2017,2018-04-06,"Drama, Romance, Thriller",105,Canada,English,"Carlos Sanchez, Jason Sanchez","Carlos Sanchez, Jason Sanchez",micro_scope,"Evan Rachel Wood, Julia Sarah Stone, Maxim Roy, Denis O'Hare, Michael Dozier, Yardly Kavanagh, Teresa Picciano, Lara Binamé, Nick Baillie, Xavier Loyer, Jonathan Shatzky, Max Laferriere, Alexandre Nachi, Joe Cobden, Jason Conyers",A house cleaner meets a teenaged girl and convinces her to run away and live with her in secret.,4.9,1399,,,$ 39,54.0,13.0,30.0
tt6215352,Born in 1987,Born in 1987,2016,2016-10-26,"Drama, Romance, Thriller",80,Iran,Persian,Majid Tavakoli,"Jamileh Daralshafaie, Majid Tavakoli",Center of Documentary & Experimental Cinema,"Hengameh Hamidzadeh, Pedram Sharifi, Ehsan Amani, Maryam Saadat, Ehsan Bayatfar, Kamran Maleki, Anahita Ne'mati, Alireza Ostadi, Majid Rezaie, Mahtab Servati","This romantic drama tells the story of dreams and ambitions for a generation of young Iranians who often find those things difficult to come by. In this unique tale of a familiar theme, a ...",5.2,226,,,,,,13.0
tt6215368,Invasion,Invasion,2017,2017-11-06,"Crime, Drama, Mystery",102,Iran,Persian,Shahram Mokri,"Nasim Ahmadpour, Shahram Mokri",Iran Novin Film,"Abed Abest, Elaheh Bakhshi, Babak Karimi, Behzad Dorani, Pedram Sharifi, Mohamad Sareban, Levon Haftvan, Milad Rahimi, Iman Sayad Borhani, Mohammad Berahmani, Seyed Ali Miri, Sajad Tabesh, Saeed Zarei","In a very long eclipse of the sun, an unknown disease has been widespread. Ali is accused of the murder of Saman in a club and the police is going to stage a reconstruction of the murder.",6.2,405,,,,,1.0,16.0
tt6215376,It Happened at Midnight,It Happened at Midnight,2016,2016-10-19,"Drama, Romance",101,Iran,Persian,Tina Pakravan,Tala Motazedi,,"Hamed Behdad, Roya Nonahali, Mehrab Rezaei, Gohar Kheirandish, Setareh Eskandari, Atila Pesiani, Shaghayegh Farahani, Rabe'e Oskouie, Sina Razani, Dina Abron","The movie narrates the story of a handsome young singer who is hired and unexpectedly, a romantic relationship begins to develop between him and an older, widowed woman, though neither is ...",5.7,294,,,,,,15.0
tt6215446,Ghost Light,Ghost Light,2018,2019-06-18,"Comedy, Horror",102,USA,English,John Stimpson,"John Stimpson, Geoffrey Taylor",H9 Films,"Roger Bart, Tom Riley, Shannyn Sossamon, Danielle Campbell, Cary Elwes, Carol Kane, Steve Tom, Scott Adsit, Alex Portenko, Sheldon Best, Caroline Portu, Nolan Gerard Funk, Liliane Klein, Zele Avradopoulos, Ken Cheeseman","A dark comedy about a disgruntled summer-stock actor who contemptuously disregards the superstition surrounding Shakespeare's tragedy, Macbeth. By doing so he unleashes the curse of The Scottish Play and wreaks havoc on the company.",5.1,437,,,,,13.0,13.0
tt6215588,Negar,Negar,2017,2017-09-06,"Action, Crime, Drama",93,Iran,Persian,Rambod Javan,Ehsan Goodarzi,Iranian Independents,"Negar Javaherian, Mohammad Reza Forutan, Ali Reza Shoja'noori, Mani Haghighi, Atila Pesiani, Afsaneh Bayegan, Alireza Aghakhani, Ashkan Khatibi, Mohammad Karimi, Fariba Kamran, Iliya Keyvan","According to the police, Negar's father committed suicide. Having had a happy life, Negar suspects that his death has not happened the way it seems. She starts unfolding the truth through an unconventional investigation.",5.2,851,,,,,1.0,22.0
tt6215590,Noghteh kor,Noghteh kor,2016,2017-04-26,Drama,76,Iran,Persian,Mahdi Golestaneh,Ehsan Biglari,Mantra Film,"Khatereh Asadi, Maryam Boubani, Shaghayegh Farahani, Mohammad Reza Forutan, Mohsen Kiayee, Niki Mozaffari, Yalda Nourian, Hanie Tavassoli, Alirea Zamaninasab",Khosrow who was away at his work in the sea for 23 days is back home to find out that his fears and suspicions are becoming real. He cannot stand all this and becomes nervous. This put him in confrontation with his wife.,5.2,143,,,,,,11.0
tt6215712,Ajin,Ajin,2017,2017-09-30,"Action, Horror, Mystery",109,Japan,Japanese,Katsuyuki Motohiro,"Gamon Sakurai, Masahiro Yamaura",Amuse,"Mamoru Miyano, Takeru Satoh, Minami Hamabe, Tetsuji Tamayama, Kenichi Suzumura, Gô Ayano, Yûki Yamada, Yu Shirota, Yûdai Chiba, Kazuki Ohmori, Rina Kawaei","A high school student discovers he is an Ajin, a demi-human being. He ends up a fugitive on the run because of his powers.",6.4,1337,,,$ 10750712,,10.0,11.0
